Property address,Property city,Tags
161 Baisley Avenue,East Rockaway,(8020) SMS - 9/2025
213 West 24th Street,Deer Park,(8020) SMS - 11/2025
104 Dogwood Drive,Wading River,"(8020) SMS - 8/2025, (8020) SMS - 9/2025"
135 Merritts Road,Farmingdale,(8020) SMS - 11/2025
62 Park Avenue,Roosevelt,
45 Merokee Place,Farmingdale,(8020) SMS - 10/2025
1 Hudson Court,Lynbrook,(8020) SMS - 11/2025
1453 Alpha Street,Elmont,
18 Brentwood Avenue,Farmingville,(8020) SMS - 7/2025
1022 Rosegold Street,Franklin Square,(8020) SMS - 7/2025
937 Hastings Street,Baldwin,(8020) SMS - 7/2025
71 Sycamore Avenue,Bethpage,
611 Deer Park Avenue,Babylon,(8020) SMS - 7/2025
334 Concord Street,Dix Hills,(8020) SMS - 9/2025
158 5th Avenue,Bay Shore,(8020) SMS - 7/2025
7 Pond Road,Holbrook,(8020) SMS - 10/2025
8 Burchell Boulevard,Bay Shore,
205 South 12th Street,Lindenhurst,
10 Harby Drive,Huntington,(8020) SMS - 7/2025
517 Outlook Avenue,West Babylon,
994 Commack Road,Brentwood,
8 Straight Lane,Levittown,(8020) SMS - 12/2025
267 East Shore Road,Lindenhurst,
134 North Long Beach Avenue,Freeport,
71 Dean Street,North Babylon,(8020) SMS - 12/2025
11 Waterview Street,East Rockaway,(8020) SMS - 10/2025
712 Pineneck Road,Seaford,(8020) SMS - 9/2025
13 Oakdale Avenue,Central Islip,(8020) SMS - 10/2025
198 Rivendell Court,Melville,
46 Brandy Ave,Holbrook,
123 North 23rd Street,Wheatley Heights,
58 Lillian Avenue,Freeport,
530 Maple Street,West Hempstead,
39 2nd Place,Central Islip,
3 Ware Ave,Huntington,(8020) SMS - 9/2025
5 8th Street,Sound Beach,
45 Booth Place,Greenport,(8020) SMS - 10/2025
1610 2nd Street,West Babylon,(8020) SMS - 7/2025
34 Myrtle Lane,East Patchogue,
9 Gary Road,Syosset,
86 Pershing Ave,Valley Stream,
4 West Lido Promenade,Lindenhurst,
259 Covert Street,Westbury,
69 Hearth Lane,Westbury,
39 Hamlet Road,Levittown,
690 Commander Avenue,West Babylon,
15 Cedar Street,Roosevelt,
182 Frederick Avenue,Roosevelt,
275 Beachview Street,Copiague,
8 Narcissus Road,Mastic Beach,
293 William Floyd Parkway,Shirley,
41 Maple Place,Central Islip,
61 Parkway Boulevard,Wyandanch,
1039 Joselson Avenue,Bay Shore,
203 Wright Street,Westbury,
1 Ashland Dr,Huntington,
100 Old Northport Road,Kings Park,
3 Lilac Lane,Port Jefferson Station,
68 Coppersmith Road,Levittown,(8020) SMS - 10/2025
247 Hawthorne Street,Mastic Beach,
30 Briggs Street,Hicksville,(8020) SMS - 9/2025
72 Winchester Drive,Lindenhurst,
1 Tameling Avenue,Babylon,(8020) SMS - 9/2025
7 Lily Lane,Levittown,(8020) SMS - 9/2025
31 Neptune Avenue,Mastic,
194 Ingraham Boulevard,Hempstead,(8020) SMS - 9/2025
503 Hawthorne Avenue,Uniondale,(8020) SMS - 9/2025
19 Eckert Street,Huntington Station,
17 Riverside Street,Amityville,(8020) SMS - 8/2025
17 East Avenue,Lawrence,
1 Gables Boulevard,Setauket- East Setauket,(8020) SMS - 10/2025
6 Decatur Street,Roosevelt,
212 Babylon Turnpike,Merrick,
26 Rosedale Avenue,Freeport,
287 Clearmeadow Drive,East Meadow,(8020) SMS - 10/2025
90 East Bartlett Road,Middle Island,
109 Eden Avenue,Massapequa Park,
67 Elgin Road,Valley Stream,(8020) SMS - 10/2025
203 Massachusetts Avenue,Massapequa,
116 Meadowbrook Road,Hempstead,(8020) SMS - 10/2025
4 Rainbow Court,Middle Island,(8020) SMS - 10/2025
44 Asbury Avenue East,Westbury,
204 Carnation Drive,Farmingdale,
119 Grant Boulevard,North Bellmore,"(8020) SMS - 10/2025, (8020) SMS - 9/2025"
17 Rodney Place,Amityville,(8020) SMS - 6/2025
70 Spar Drive,Mastic Beach,
1741 New Hyde Park Road,New Hyde Park,
44 Quail Run,East Islip,
370 Blue Point Rd,Farmingville,
37 Rosewood Road,Rocky Point,
210 Smith St,Central Islip,
37 Longbow Ln,Commack,
73 Wellesley Lane,Hicksville,
56 Elwood Road,Northport,
44 Saint Pauls Road South,Hempstead,
109 Halley Drive,Center Moriches,
60 Ketcham Avenue,Amityville,
849 Old Medford Avenue,Medford,
357 Holbrook Road,Lake Ronkonkoma,
2 Franklin Street,Coram,
2 Moor Lane,East Patchogue,
56 Quebec Drive,Huntington Station,
27 Wilson Ln,Bethpage,
145 Wittberg Street,Brentwood,
511 Montauk Highway,East Moriches,
408 River Avenue,Patchogue,
19 Walnut St,Coram,
1310 Surrey Pl,Rockville Centre,
68 Lakeside Drive,Farmingville,
111 Audrey Avenue,Oyster Bay,
81 3rd Avenue,Lindenhurst,
105 Pilgrim Place,Valley Stream,
54 South Ocean Avenue,Bayport,
1529 Berkeley Ave,Baldwin,
209 Village Ave,Elmont,
274 County Line Road,Amityville,
30 Woodland Rd,Centereach,
15 Grouse Lane,Levittown,
619 Granny Road,Medford,
16 Hale Place,Roosevelt,(8020) SMS - 7/2025
35 Montrose Court,Roslyn,(8020) SMS - 7/2025
10 Eason Drive,Ridge,(8020) SMS - 7/2025
1694 North Gardiner Drive,Bay Shore,(8020) SMS - 7/2025
19 Rugby Road,Merrick,
1537 Illinois Avenue,Bay Shore,
263 Candee Avenue,Sayville,(8020) SMS - 7/2025
4 Lincoln Street,Sag Harbor,(8020) SMS - 7/2025
55 Pinewood Drive,Shirley,(8020) SMS - 7/2025
275 Jefferson Avenue,Brentwood,
45 Deepdale Drive,Commack,(8020) SMS - 7/2025
895 Arctic Street,Lindenhurst,(8020) SMS - 7/2025
11579 237th Street,Elmont,(8020) SMS - 7/2025
331 Main Road,Aquebogue,(8020) SMS - 7/2025
5 Chestnut Street,Wyandanch,(8020) SMS - 7/2025
375 Clift Street,Central Islip,
515 Bayview Avenue,Inwood,(8020) SMS - 8/2025
257 Fruitwood Lane,Central Islip,(8020) SMS - 6/2025
36 Oldwood Road South,Port Washington,(8020) SMS - 6/2025
17 Atlas Lane,Hicksville,(8020) SMS - 7/2025
95 Baybright Drive,Shirley,(8020) SMS - 6/2025
46 Prospect Avenue,Hewlett,
2136 East 63rd Street,Brooklyn,(8020) SMS - 6/2025
9 Barlow Avenue,Glen Cove,(8020) SMS - 6/2025
329 Woodbury Road,Cold Spring Harbor,(8020) SMS - 7/2025
96 Morris Drive,East Meadow,(8020) SMS - 6/2025
80 East Roosevelt Avenue,Roosevelt,(8020) SMS - 7/2025
566 Boxwood Drive,Shirley,(8020) SMS - 7/2025
84 Carr Lane,Coram,
20 Wilson Street,Port Jefferson Station,(8020) SMS - 7/2025
21 Waterview Drive,Port Jefferson,(8020) SMS - 7/2025
46 South Howell Avenue,Centereach,(8020) SMS - 7/2025
532 East Broadway,Long Beach,(8020) SMS - 7/2025
75 Landing Road,Miller Place,(8020) SMS - 7/2025
208 Charter Oaks Avenue,Brentwood,(8020) SMS - 7/2025
226 14th Avenue,West Babylon,
98 East Pennywood Avenue,Roosevelt,(8020) SMS - 7/2025
163 Earl Street,Westbury,(8020) SMS - 7/2025
184 Harrison Avenue,Island Park,(8020) SMS - 7/2025
46 Woodroad Trail,Flanders,(8020) SMS - 7/2025
75 East Shore Drive,Patchogue,(8020) SMS - 7/2025
57 Elizabeth Drive,Bethpage,(8020) SMS - 7/2025
113 South 33rd Street,Wyandanch,(8020) SMS - 7/2025
1170 Gavrin Boulevard,Franklin Square,(8020) SMS - 7/2025
6 Satinwood Road,Bayville,(8020) SMS - 7/2025
31 Remsen Road,Wading River,(8020) SMS - 7/2025
10 Cottonwood Avenue,Port Jefferson Station,(8020) SMS - 7/2025
14 Loretta Court,Coram,(8020) SMS - 7/2025
171 Prince Avenue,Freeport,(8020) SMS - 7/2025
134 Grace Street,Plainview,(8020) SMS - 7/2025
1014 Washington Drive,Centerport,(8020) SMS - 7/2025
51 East Hollywood Avenue,Lindenhurst,(8020) SMS - 7/2025
7 Vinton Street,Long Beach,(8020) SMS - 7/2025
147 Woodside Rd,Mastic Beach,
3 Clarissa Lane,Commack,(8020) SMS - 6/2025
2393 Maple Avenue,Seaford,(8020) SMS - 6/2025
41 Broadway,Shirley,
197 Monroe Drive,Mastic Beach,
33 2nd Avenue,Westbury,
66 Peary Street,West Babylon,
370 Vespucci Avenue,Copiague,
154 Madison Avenue,Island Park,
188 Pleasure Drive,Flanders,
889 Lafayette Ave,Bohemia,
34 Saint James Parkway,Nesconset,
2 Queen Drive,Sound Beach,
91 Nostrand Avenue,Port Jefferson Station,
756 Outlook Ave,West Babylon,
72 Radburn Dr,Farmingville,
95 Commonwealth Avenue,Massapequa,
127 North Street,Manorville,
357 South Jamesport Avenue,Jamesport,
2591 Kimberly Court,Merrick,
375 Racoon Road,Mattituck,
28 Dorothy Drive,Syosset,
40 Mary Pitkin Path,Shoreham,
330 East Drive,Copiague,
245 Birchwood Road,Coram,
"478 Essex St,",Brooklyn,
161 Harbor View Drive,Port Washington,
360 Howard Avenue,Woodmere,
17 Dogwood Rd,Stony Brook,
40 Christian Avenue,Setauket- East Setauket,
672 Nassau Boulevard,West Hempstead,
1739 Asharoken Boulevard,Bay Shore,
94 Ferndale Avenue,Selden,
23 Chase Lane,Levittown,
382 Hillside Drive South,New Hyde Park,
1977 Jackson Avenue,Elmont,
2600 Southard Avenue,Oceanside,(8020) SMS - 7/2025
84 Faulkner Avenue,North Babylon,
8 Miller Farms Drive,Miller Place,
378 East 58th Street,Brooklyn,
22 Bay Road,Halesite,
491 Oakland Avenue,Cedarhurst,
5 Hemingway Drive,Dix Hills,
1932 Joshuas Path,Central Islip,
97 Iroquois Drive,Brightwaters,
42 Fulton Ave,Hicksville,
2961 Stevens Street,Oceanside,
186 Smith Avenue,Islip,
725 Scranton Avenue,East Rockaway,
49 Yale Street,Inwood,
10 Wellington Road,Middle Island,
680 Westview Drive,Mattituck,
884 Pacific Street,Lindenhurst,
276 Deauville Boulevard,Copiague,
306 Park Avenue,Freeport,
26 7th Street,Bayville,
34 Ridgedale Avenue,Farmingville,
154 Southside Ave,Freeport,
2830 Riverside Drive,Wantagh,
174 Nichols Rd,Nesconset,
24 Van Cedar Street,Brentwood,
"8811 201st St,",Jamaica,
23 Park Hill Drive,Selden,
15 East Maple Street,Central Islip,
12 Andover Place,Huntington,
133 Holbrook Road,Centereach,
529 South 5th Street,Lindenhurst,
27 North Plaza,Amityville,
16 Suffolk Pl,East Northport,
83 Brennan Street,Huntington,
61 Locust Dr,Rocky Point,
1519 Hawkins Ave,Baldwin,
317 Mulry Lane,Lawrence,
404 Smith Street,Central Islip,
195 McKinley Drive,Mastic Beach,
4 Meadowood Court,Huntington,
104 Maeder Avenue,North Merrick,
10 Hawley Ave,West Islip,
75 2nd Street,East Rockaway,
40 Vautrin Ave,Holtsville,
12 Hawkins Path,Coram,
10 Mohawk Drive,North Babylon,
41 Waterville Drive,Sound Beach,
1154 Howard Drive,Westbury,
2021 Stratford Dr,Westbury,
4 21st St,Wyandanch,
15 West End Avenue,Inwood,
49 Elwood Avenue,Hicksville,
35 Woodridge Road,Hampton Bays,
115 Weeks Avenue,Manorville,
54 Whooping Hollow Rd,East Hampton,
335 Jervis Avenue,Copiague,
44 Holland Avenue,Floral Park,
34 Coolidge Avenue,Copiague,
390 Old Country Road,Melville,
269 Madison St,Mastic Beach,
49 Hawkins Road,Stony Brook,
120 Farmers Ave,Lindenhurst,
224 Van Buren St,Mastic,
66 Elmwood Avenue,Hempstead,
163 Shaw Avenue,Valley Stream,
128 Hill Crescent,Calverton,
"149 Mastic Beach Rd,","Mastic Beach,",
38 Island Trl,Mount Sinai,
176 Floyd Street,Brentwood,
35 Morton Street,Port Jefferson Station,
43 Elmwood Avenue,Selden,
176 Waldorf Avenue,Elmont,
11 Shade Tree Lane,East Patchogue,
207 Wellington Road South,Garden City,
28 Glover Place,Baldwin,
28 Shelley Street,Freeport,
29 Grand Canyon Ln,Coram,
115 Wallace Street,Freeport,
348 W 18th St,Deer Park,
130 Leonard Avenue,Freeport,
36 Petty Lane,Medford,
7 Wellington Rd,Locust Valley,
39 Penney Street,West Islip,
1050 Ocean Ave,Bohemia,
18 Fairview Place,Hauppauge,
6 John Roe Smith Ave,Medford,
100 N Central Ave,Valley Stream,
343 Magnolia Ave,Westbury,
8 Marc Dr,Ridge,
204 West Marshall Street,Hempstead,
4000 Greentree Dr,Oceanside,
331 Jayne Blvd Port,Jefferson Station,
152 Gracie Drive,North Babylon,
1 Belford Ln,Port Jefferson Station,
3 Ridings Gate,Northport,
14 Cortland Ct,Huntington Station,
154 Woodward Parkway,Farmingdale,
154 Woodward Parkway,Farmingdale,
665 Carlyle Street,Woodmere,
"18 Prospect St,",Oyster Bay,
11 Kuhl Avenue,Hicksville,
36 Waldo Ave,East Rockaway,
2717 Heather Avenue,Medford,
275 Waldorf Avenue,Elmont,
64 Montrose Drive,Commack,
16 Oak Ln,Amagansett,
1556 Stony Brook Road,Stony Brook,
117 Locust Lane,Northport,
38 Eldorado Boulevard,Plainview,
529 Elder Ln,Ronkonkoma,
150 W Hudson St,Long Beach,
104 Pinewood Lane,Massapequa Park,
44 Leopold Ave,West Islip,
25 Newins Street,Center Moriches,
2327 Mattituck Avenue,Seaford,
780 Regent Drive,Westbury,(8020) SMS - 10/2025
8 Graham Road,Hampton Bays,
56 Birch Avenue East,Farmingdale,
220 Rintin Street,Franklin Square,
1613 Northern Blvd,Roslyn,
1254 Dutch Broadway,Valley Stream,
330 Pennsylvania Avenue,Massapequa Park,
Bay Drive,Manorville,
971 Montauk Highway,Bayport,
12 Hemingway Dr,Dix Hills,
1474 Stephen Marc Lane,East Meadow,
40 Arlyn Drive East,Massapequa,
54 Rope Lane,Levittown,
193 Park Drive,Mastic Beach,
99 Stewart Avenue,Bethpage,
52 Summit Road,Port Washington,
1263 Jackson Avenue,Lindenhurst,
63 Wellington Road,Middle Island,
11 Wilson Avenue,Amityville,
38 Neulist Avenue,Port Washington,
26 Mill Road,Remsenburg-Speonk,
240 Bedford Avenue,Uniondale,
147 Wayne Street,Hauppauge,
5 Bowman Lane,Kings Park,
190 26th Street,Copiague,
42 Keswick Drive,East Islip,
5 Return Ln,Levittown,
25 Locust Lane,Miller Place,
2789 Rita Court,Bellmore,
288 Semton Boulevard,Franklin Square,
29 Apex Drive,Coram,
36 Osage Drive,Huntington Station,
82 Buckingham Place,Lynbrook,
570 Sunrise Highway,Baldwin,
2541 Peconic Ave,Seaford,
8 Patricia Court,Bethpage,
414 Belfast Lane,Ridge,
153- 14 83rd Street,Queens,
29 Deer Park Boulevard,Deer Park,
24 East Oakdale Street,Bay Shore,
402 Old Montauk Highway,Eastport,
239 Washington Avenue,Amityville,
67 Poplar Street,Brentwood,
322 Willow Street,South Hempstead,
20 The Hemlocks,Roslyn,
0 Munsell Rd,Medford,
2713 Rockaway Avenue,Oceanside,
142 Winges Avenue,Patchogue,
777 Johnson Avenue,Ronkonkoma,
26 East 12th Street,Huntington Station,
159 Eastlake Avenue,Massapequa Park,
20 Valley Road,Bayville,
3267 Harold St,Oceanside,
380 Sheridan Blvd,Inwood,
269 Dare Road,Selden,
297 Starke Avenue,East Meadow,
204 Oak Avenue,Flanders,
42 Henry Street,Roosevelt,
25 Pleasant Ave,Plainview,
101 Seneca St,East Northport,
197 Maple Street,Medford,
5 Davison Place,Rockville Centre,
26 Daisy Place,Selden,
18 Milburn Road,Sound Beach,
10 Dorothy Ct,Merrick,
29 Dix Circle,Dix Hills,
34 Meadow Wood Lane,Farmingdale,
253 Covert Street,Westbury,
80 Tardy Lane North,Wantagh,
371 Mooney Pond Road,Selden,
73 Marvin Avenue,Rockville Centre,(8020) SMS - 7/2025
67 Ridgeway Avenue,Setauket- East Setauket,
1839 Clifton Pl,Merrick,
25 Michael Road,Syosset,
55 Yaphank Ave,Brookhaven,
2728 Wilson Avenue,Bellmore,
49 Cedar Street,Babylon,
56 Central Avenue,Lynbrook,
3427 5th Street,Oceanside,
16 Beverly Road,Wantagh,
263 Commack Road,Deer Park,
619 Caledonia Road,Dix Hills,
28 Pine Street,Central Islip,
196 Bayville Ave,Bayville,
259 Washington Ave,Brentwood,
336 Earle Ave,Lynbrook,
163 Bellevue Avenue,Oceanside,
15 Cornell Place,Farmingdale,
1938 Meadowbrook Road,Merrick,
430 Earle Street,Central Islip,(8020) SMS - 7/2025
